INFO:__main__:Корневая папка E:\DCDownloads\GeekBrains\python
INFO:__main__:Добавляем в список Dirsubject(filename='.idea', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='crawler.log', extention='.log', dir_flag=False, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='file_info.log', extention='.log', dir_flag=False, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='home01.log', extention='.log', dir_flag=False, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Lesons13', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Lessons_14_Основы тестирования', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Lessons_15', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Lesson_11', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='lesson_12', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='main.py', extention='.py', dir_flag=False, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Sem10', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Sem8', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Sem9', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar1', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar2', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar3', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar4', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar5', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar6', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='Seminar7', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='task15', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
INFO:__main__:Добавляем в список Dirsubject(filename='venv', extention='', dir_flag=True, parent_name=WindowsPath('E:/DCDownloads/GeekBrains/python'))
